직업,항목,값,설명
warrior,이름,용사,화면에 나오는 직업 이름
warrior,한줄소개,몽둥이 하나로 군단 앞에 선다,접속 화면 직업 카드의 한 줄
warrior,선택가능,예,"아니오면 접속 화면에 ""준비 중""으로 회색 표시"
warrior,기본 HP,48,1레벨 체력
warrior,기본 공격력,11,
warrior,기본 방어력,6,
warrior,기본 속도,9,높으면 먼저 때린다
warrior,기본 치명타,0.06,0.06 = 6%
warrior,성장 HP,6,레벨 1당 오르는 양
warrior,성장 공격력,2,
warrior,성장 방어력,1.4,
warrior,성장 속도,0.8,
warrior,성장 치명타,0.004,
warrior,패시브 이름,무쇠 위장과 노획,★ 글자일 뿐이다 — 전투는 안 바뀐다
warrior,패시브 설명,회복약 효과 2배 · 재료 20% 확률로 두 배,★ 직업 카드의 한 줄 요약
warrior,패시브 자세히,회복약은 자동으로 마시든 직접 마시든 회복량이 2배가 된다. 그리고 사냥에서 나온 재료를 20% 확률로 두 배 챙긴다 — 힘 1점마다 0.5%p 씩 오른다.,★ 캐릭터 창에 나오는 긴 설명
warrior,반격 확률,0.35,맞았을 때 되받아칠 확률. 0.35 = 35%
warrior,반격 위력,1.2,반격 피해 배율. 0.55 = 평소의 55%
warrior,치명상 버티기,0.5,쓰러질 피해를 HP 1 로 버틸 확률. 전투당 1회
warrior,물약 배율,2,물약 회복량 배율. 2 = 두 배
warrior,선제 공격 횟수,,전투 시작하자마자 공짜로 때리는 횟수
warrior,선제 공격 위력,,그 공격의 피해 배율
warrior,회피 확률,,0.18 = 18%
warrior,맞은 뒤 확정 회피,,1 이면 켬. 비우면 끔
warrior,광역 여파,,주 대상에게 준 피해의 몇 %가 나머지 전부에게. 0.45 = 45%
warrior,충전 주기,,몇 번째 공격마다 대폭발이 터지나
warrior,충전 위력,,그 폭발의 피해 배율. 2.1 = 2.1배
warrior,보호막,,1 이면 켬 — 쓰러질 피해를 막고 HP 1 로 버틴다
warrior,보호막 막는 횟수,,몇 대를 막아 내나. 0.54 이전에는 밀리초였다
warrior,끌어오기 범위,0,필드에서 몇 칸 안의 몬스터까지 함께 끌고 들어오나. 0 = 한 마리
warrior,한 전투 최대 마리,1,끌고 올 수 있는 최대 수
warrior,공격 속성,,magic 이면 마법 공격으로 친다. 비우면 물리
warrior,마법 전환 배율,,주는 피해를 전부 마법으로 바꾸면서 곱하는 값. 1.1 = 10% 더. 비우면 1(그대로)
warrior,골드 획득,,사냥꾼 패시브. 0.3 = +30% (상점 판매에도)
warrior,골드 획득/민첩,,민첩 1점마다 더 오르는 몫. 0.01 = 1%p
warrior,재료 두 배 확률,0.2,용사 패시브. 0.2 = 20%
warrior,재료 두 배/힘,0.005,힘 1점마다 더 오르는 몫. 0.005 = 0.5%p
warrior,각인 확률 추가,,마법사 패시브. 0.1 이면 10% → 20%
warrior,각인 확률/지능,,지능 1점마다 더 오르는 몫. 0.002 = 0.2%p
warrior,회피 확률/민첩,,사냥꾼 패시브. 민첩 1점마다 더 오르는 몫. 0.003 = 0.3%p
