몬스터,아이템,확률,최소,최대
slime,slime_jelly,0.55,1,1
slime,herb,0.25,1,2
slime,club,0.03,1,1
bat,bat_fang,0.55,1,2
bat,herb,0.3,1,2
bat,slime_jelly,0.15,1,1
bat,short_bow,0.05,1,1
bat,leather_armor,0.06,1,1
mushroom,herb,0.75,2,4
mushroom,magic_stone,0.1,1,1
mushroom,iron_sword,0.1,1,1
mushroom,wooden_sword,0.12,1,1
mushroom,apprentice_staff,0.08,1,1
mushroom,cloth_gloves,0.12,1,1
wolf,bat_fang,0.45,1,3
wolf,herb,0.5,1,3
wolf,magic_stone,0.14,1,1
wolf,hunting_bow,0.1,1,1
wolf,gem_sapphire,0.01,1,1
wolf,swift_ring,0.03,1,1
imp,herb,0.45,2,4
imp,magic_stone,0.22,1,2
imp,demon_core,0.42,3,3
imp,leather_pauldron,0.1,1,1
imp,wood_amulet,0.08,1,1
imp,knight_armor,0.013,1,1
skeleton,magic_stone,0.3,1,2
skeleton,demon_core,0.16,1,1
skeleton,steel_pauldron,0.027,1,1
skeleton,knight_armor,0.023,1,1
skeleton,guard_amulet,0.01,1,1
skeleton,power_ring,0.01,1,1
skeleton,knight_helm,0.02,1,1
demon_soldier,demon_core,0.35,1,2
demon_soldier,magic_stone,0.35,1,3
demon_soldier,steel_gauntlet,0.023,1,1
demon_soldier,swift_boots,0.02,1,1
demon_soldier,flame_sword,0.017,1,1
demon_soldier,elven_bow,0.017,1,1
demon_soldier,archmage_staff,0.017,1,1
demon_soldier,mana_belt,0.017,1,1
demon_soldier,dragon_mail,0.013,1,1
imp_captain,magic_stone,1,3,6
imp_captain,demon_core,1,3,9
imp_captain,wood_amulet,0.5,1,1
imp_captain,leather_belt,0.45,1,1
imp_captain,swift_ring,0.35,1,1
imp_captain,guard_amulet,0.25,1,1
demon_general,demon_core,1,3,6
demon_general,magic_stone,1,6,12
demon_general,power_ring,0.2,1,1
demon_general,guard_amulet,0.2,1,1
demon_general,mana_belt,0.2,1,1
demon_general,dragon_ring,0.02,1,1
elite_slime,magic_stone,0.7,1,3
elite_slime,demon_core,0.15,1,2
elite_slime,herb,0.35,2,4
elite_bat,magic_stone,0.75,1,3
elite_bat,demon_core,0.18,1,3
elite_bat,herb,0.3,2,5
elite_mushroom,magic_stone,0.8,2,4
elite_mushroom,demon_core,0.22,1,2
elite_mushroom,herb,0.4,3,6
elite_wolf,magic_stone,0.85,2,4
elite_wolf,demon_core,0.28,1,3
elite_wolf,greater_potion,0.12,1,2
elite_wolf,gem_ruby,0.01,1,1
elite_imp,magic_stone,0.9,2,5
elite_imp,demon_core,0.35,1,3
elite_imp,greater_potion,0.15,1,2
elite_imp,wood_amulet,0.01,1,1
elite_skeleton,magic_stone,0.95,3,6
elite_skeleton,demon_core,0.45,1,3
elite_skeleton,greater_potion,0.2,1,2
elite_skeleton,guard_amulet,0.01,1,1
elite_skeleton,rune_gauntlet,0.01,1,1
elite_demon_soldier,magic_stone,1,4,8
elite_demon_soldier,demon_core,0.6,2,4
elite_demon_soldier,greater_potion,0.25,1,3
elite_demon_soldier,mana_belt,0.02,1,1
elite_demon_soldier,rune_boots,0.01,1,1
elite_demon_soldier,rune_belt,0.01,1,1
elite_imp_captain,demon_core,1,4,8
elite_imp_captain,magic_stone,1,8,16
elite_imp_captain,greater_potion,1,3,6
elite_imp_captain,rune_amulet,0.55,1,1
elite_imp_captain,rune_belt,0.45,1,1
elite_imp_captain,power_ring,0.35,1,1
elite_imp_captain,guard_amulet,0.3,1,1
elite_demon_general,demon_core,1,10,18
elite_demon_general,magic_stone,1,20,34
elite_demon_general,greater_potion,1,6,12
elite_demon_general,dragon_ring,0.6,1,1
elite_demon_general,rune_amulet,0.5,1,1
elite_demon_general,rune_belt,0.5,1,1
dungeon_wraith,magic_stone,0.9,4,9
dungeon_wraith,demon_core,0.5,1,3
dungeon_wraith,greater_potion,0.35,1,2
dungeon_wraith,gem_topaz,0.05,1,1
dungeon_wraith,gem_onyx,0.04,1,1
dungeon_wraith,socket_drill,0.01,1,1
dungeon_golem,magic_stone,1,8,16
dungeon_golem,demon_core,0.7,2,4
dungeon_golem,greater_potion,0.5,1,3
dungeon_golem,gem_emerald,0.07,1,1
dungeon_golem,gem_sapphire,0.06,1,1
dungeon_golem,gem_ruby,0.05,1,1
dungeon_golem,socket_drill,0.01,1,1
dungeon_general,demon_core,1,12,20
dungeon_general,magic_stone,1,24,38
dungeon_general,greater_potion,1,8,14
dungeon_general,dragon_ring,0.6,1,1
dungeon_general,rune_amulet,0.5,1,1
dungeon_general,rune_belt,0.5,1,1
dungeon_general,gem_ruby,0.12,1,1
dungeon_general,gem_emerald,0.12,1,1
dungeon_general,gem_onyx,0.12,1,1
dungeon_lord,magic_stone,1,30,50
dungeon_lord,demon_core,1,12,22
dungeon_lord,greater_potion,1,18,35
dungeon_lord,gem_amethyst,0.2,1,1
