id,이름,종류,부위,아이콘,등급,겹침,강화,가격,atk,def,hp,spd,crit,치명피해,회복HP,마법,설명,기타
club,낡은 몽둥이,weapon,weapon,item_club,common,아니오,아니오,12,7,,,,,,,,마을 뒤뜰에서 주워 온 나무 몽둥이. 강화할 수 없다.,
wooden_sword,나무 검,weapon,weapon,item_wooden_sword,common,아니오,예,40,6,,12,,,,,,훈련용으로 깎은 검. 없는 것보단 낫다.,
iron_sword,강철 검,weapon,weapon,item_iron_sword,uncommon,아니오,예,190,13,,28,,0.02,,,,제대로 벼려진 검. 손맛이 다르다.,
flame_sword,화염검,weapon,weapon,item_flame_sword,rare,아니오,예,1500,36,,66,,0.05,,,,날에 꺼지지 않는 불이 감돈다.,
demon_blade,마검 발가르,weapon,weapon,item_demon_blade,epic,아니오,예,4200,58,,96,5,0.1,,,,악마 장군의 검. 쥔 자의 피를 조금씩 마신다.,
short_bow,낡은 사냥활,weapon,weapon,item_short_bow,common,아니오,아니오,14,5,,,1,0.03,,,,마을 뒤편에서 주워 온 활. 강화할 수 없다.,
hunting_bow,사냥용 활,weapon,weapon,item_hunting_bow,uncommon,아니오,예,210,12,,12,4,0.06,,,,제대로 손질된 활. 시위 소리가 맑다.,
elven_bow,바람의 장궁,weapon,weapon,item_elven_bow,rare,아니오,예,1600,33,,34,9,0.11,,,,화살이 바람을 타고 나간다.,
gnarled_staff,옹이 지팡이,weapon,weapon,item_gnarled_staff,common,아니오,아니오,14,5,1,,,,,,,옹이가 박힌 나무 막대기. 강화할 수 없다.,
apprentice_staff,견습 지팡이,weapon,weapon,item_apprentice_staff,uncommon,아니오,예,215,22,,46,,,0.03,,,끝에 박힌 돌이 희미하게 빛난다.,
archmage_staff,대마법사의 지팡이,weapon,weapon,item_archmage_staff,rare,아니오,예,1700,46,,84,,,0.1,,,쥐고만 있어도 마력이 흐른다.,
cloth_armor,천 옷,armor,armor,item_cloth_armor,common,아니오,예,35,,3,18,,,,,,평범한 여행자의 옷.,
leather_armor,가죽 갑옷,armor,armor,item_leather_armor,uncommon,아니오,예,160,,8,35,,,,,,질긴 가죽을 겹쳐 만든 갑옷.,
knight_armor,기사 갑옷,armor,armor,item_knight_armor,rare,아니오,예,950,,26,90,,,,,,포이노 근위대의 정식 장비.,
