id,이름,레벨,hp,atk,실제 값,def,spd,crit,exp,골드,이동,속성,보스,정예,전투크기,분노,필드그림,전투그림,등장대사,쓰러질때,기타
,"↓ 칸 설명 (이 줄은 게임이 읽지 않습니다. 지워도 되고, 그대로 둬도 됩니다)",화면에 뜨는 숫자 = 이 레벨 + 땅 보정,체력,공격력,[자동] 왼쪽 공격력에 그 땅의 보정을 곱한 **싸움에서 만나는 값**. 적어도 소용없습니다,방어력,속도(선공 순서),치명타 확률 0~1,잡으면 주는 경험치,잡으면 주는 골드,chase=쫓아옴 / wander=어슬렁 / still=가만히,magic 이면 공격이 통째로 마법 — 상대의 마법 저항(지능)이 깎는다. 비우면 물리,예/아니오,예/아니오,"[보기용] 전투 화면에서 그림을 몇 배로 그릴지. 1=보통, 2.1=두 배 조금 넘게. 싸움 계산에는 안 걸린다",[싸움] 제 차례에 한 대 칠 때마다 공격력이 이만큼씩 곱으로 붙는다. 0.1=1.1배씩(10대째 2.36배). 비우면 0,들판 그림 이름,전투 그림 이름,보스가 나타날 때 한 줄,보스가 쓰러질 때 한 줄,표로 못 펴는 값(JSON). 건드리지 마세요
slime,슬라임,1,44,24,"→ 실전 32~41 (×1.3~1.7 · 2곳, 가장 센 곳은 2단계 · 바람 언덕)",7,6,0.03,9,6,wander,,아니오,아니오,,,mon_slime_field,mon_slime_battle,,,
bat,동굴 박쥐,3,51,25,"→ 실전 37~43 (×1.5~1.7 · 2곳, 가장 센 곳은 2단계 · 바람 언덕)",6,13,0.12,12,11,chase,,아니오,아니오,,,mon_bat_field,mon_bat_battle,,,
mushroom,성난 버섯,9,75,17,"→ 실전 57~87 (×3.3~5.1 · 2곳, 가장 센 곳은 5단계 · 무너진 초소)",11,5,0.04,15,22,wander,,아니오,아니오,,,mon_mushroom_field,mon_mushroom_battle,,,
wolf,잿빛 늑대,6,99,29,"→ 실전 43~97 (×1.5~3.3 · 2곳, 가장 센 곳은 4단계 · 잿빛 숲)",13,17,0.14,22,34,chase,,아니오,아니오,,,mon_wolf_field,mon_wolf_battle,,,
imp,꼬마 악마,13,118,36,"→ 실전 185~295 (×5.1~8.2 · 2곳, 가장 센 곳은 6단계 · 붉은 황야)",18,15,0.1,36,52,chase,magic,아니오,아니오,,,mon_imp_field,mon_imp_battle,,,
skeleton,해골 병사,17,168,50,"→ 실전 366~460 (×7.3~9.2 · 4곳, 가장 센 곳은 7단계 · 뼈의 들판)",30,12,0.08,58,84,wander,,아니오,아니오,,,mon_skeleton_field,mon_skeleton_battle,,,
demon_soldier,악마 병사,21,260,78,"→ 실전 570~743 (×7.3~9.5 · 3곳, 가장 센 곳은 10단계 · 심연의 관문)",46,18,0.12,72,150,chase,,아니오,아니오,,,mon_demon_soldier_field,mon_demon_soldier_battle,,,
imp_captain,악마 정찰대장,15,150,45,→ 실전 231 (×5.1 · 5단계 · 무너진 초소),28,14,0.16,433,749,wander,magic,예,아니오,1.15,,mon_imp_captain_field,mon_imp_captain_battle,여기서 더는 못 간다.,겨우… 정찰대장 하나에…,
demon_general,악마 장군 발가르,30,464,95,→ 실전 904 (×9.5 · 10단계 · 심연의 관문),55,20,0.18,1056,2816,chase,magic,예,아니오,1.25,,mon_demon_general_field,mon_demon_general_battle,네 이름을 기억해 두마. 짧게 쓸 이름이지만.,장군의 목이… 이렇게 가벼웠나…,
elite_slime,강화된 슬라임,31,3200,300,"→ 실전 1,279~1,296 (×4.3~4.3 · 2곳, 가장 센 곳은 12단계 · 무너진 바람 언덕)",150,16.2,0.06,420,130,wander,,아니오,예,,,mon_slime_field,mon_slime_battle,,,
elite_bat,강화된 동굴 박쥐,33,3300,315,"→ 실전 1,224~1,361 (×3.9~4.3 · 2곳, 가장 센 곳은 12단계 · 무너진 바람 언덕)",155,35.1,0.15,630,240,chase,,아니오,예,,,mon_bat_field,mon_bat_battle,,,
elite_mushroom,강화된 성난 버섯,39,3600,340,"→ 실전 1,370~1,637 (×4~4.8 · 2곳, 가장 센 곳은 15단계 · 되세워진 초소)",168,13.5,0.07,700,480,wander,,아니오,예,,,mon_mushroom_field,mon_mushroom_battle,,,
