id,제목,조건,대상,개수,EXP,골드,보상템,수량,필요레벨,선택보상,설명,열림조건
jelly5,말랑한 증거,collect,slime_jelly,5,60,500,potion,10,,,동쪽 들판의 슬라임을 잡아 젤리 5개를 모아 오게.,
wood_arm,첫 무장,collect,herb,8,100,300,potion,15,0,iron_sword | hunting_bow | apprentice_staff,약초 8개를 가져오면 쓸 만한 무기를 내주지.,
fang6,밤의 이빨,collect,bat_fang,6,150,700,herb,20,,,박쥐 송곳니 6개. 밤에 돌아다니는 놈들일세.,
hunt_wolf,골짜기의 울음,hunt,wolf,12,200,1200,magic_stone,20,,,늑대 8마리를 정리해 주게. 길이 막혔어.,
stone3,대장간의 부탁,collect,demon_core,3,400,1800,,0,,,고르드가 악마의 핵 2개를 급히 찾는다.,
reach5,무너진 초소까지,reach,field_5,1,400,1000,dragon_pauldron,1,,,"다섯 번째 들판까지 직접 가서 확인하고 오게. 그 앞은 사람이 갈 곳이 아니니, 용린 어깨갑옷 한 짝을 챙겨 가게.",
class15,직업 시험,hunt,imp_captain,1,1000,6000,,0,15,flame_sword | elven_bow | archmage_staff | knight_armor,레벨 15의 증표다. 악마 정찰대장을 쓰러뜨리고 오면\n네 직업에 맞는 무기나 방어구를 골라 주겠네.,
core5,핵을 모아라,collect,demon_core,5,2000,9000,power_ring,1,,,악마의 핵 5개. 왕궁에서 필요하다더군.,
hunt_sold,관문 앞의 벽,hunt,demon_soldier,15,3000,15000,magic_stone,50,,,악마 병사 15명. 관문 앞을 비워야 한다.,
boss_gen,발가르,hunt,demon_general,1,5000,40000,demon_core,30,,,악마 장군 발가르를 쓰러뜨려 포이노를 지켜라.,
deep_open,다시 열린 땅,reach,field_11,1,10000,30000,greater_potion,20,,,발가르가 쓰러진 자리에서 동쪽 땅이 다시 일어섰네.\n11단계로 넘어가 두 눈으로 확인하고 오게.\n성문 앞 카일에게서 룬 장비를 갖추고 가는 게 좋아.,
deep_stone,룬을 먹일 돌,collect,magic_stone,40,15000,80000,rune_gauntlet,1,,,룬 장비를 강화하려면 마력석이 산더미로 든다.\n40개만 가져오게. 건틀릿 하나는 내가 얹어 주지.,
deep_cap,되살아난 대장,hunt,elite_imp_captain,1,20000,120000,,0,25,frost_blade | storm_bow | ember_staff | rune_mail,죽었을 놈이 다시 서 있다더군. 15단계다.\n확인하고 오면 네 직업에 맞는 룬 무기를 내주겠네.,
deep_core,핵을 다시,collect,demon_core,30,30000,150000,rune_amulet,1,,,악마의 핵 30개. 이번엔 목걸이에 박아 넣을 걸세.,
deep_gen,심연 너머의 것,hunt,elite_demon_general,1,50000,400000,dragon_ring,1,30,,20단계 끝에 그것이 다시 있다.\n무기를 +9까지 올리지 않았다면 가지 말게.,
dragon_scrap,쓸모를 잃은 무기,collect,useless_sword,1,100000,100000,,0,0,,고룡을 본 눈은 다르지. 성 안 무기상이 이가 다 빠진 검 하나를 10만에 팔더군 — 아무도 안 사니 값만 붙어 있는 물건이야.\n그걸 가져오게. 값은 내가 치르지. 그 쇳덩이가 어디에 쓰이는지는 자네가 더 잘 알 테고.,met:great_dragon
